	90763_231A_S1_L001_R1_001	90763_231B_S33_L001_R1_001	90763_231C_S65_L001_R1_001	90763_232A_S2_L001_R1_001	90763_232B_S34_L001_R1_001	90763_232C_S66_L001_R1_001	90763_236A_S3_L001_R1_001	90763_236B_S35_L001_R1_001	90763_236C_S67_L001_R1_001	90763_237A_S4_L001_R1_001	90763_237B_S36_L001_R1_001	90763_237C_S68_L001_R1_001	90763_238A_S5_L001_R1_001	90763_238B_S37_L001_R1_001	90763_238C_S69_L001_R1_001	90768_005A_S6_L001_R1_001	90768_005B_S38_L001_R1_001	90768_005C_S70_L001_R1_001	90768_009A_S7_L001_R1_001	90768_009B_S39_L001_R1_001	90768_009C_S71_L001_R1_001	90768_014A_S8_L001_R1_001	90768_014B_S40_L001_R1_001	90768_014C_S72_L001_R1_001	90768_015A_S9_L001_R1_001	90768_015B_S41_L001_R1_001	90768_015C_S73_L001_R1_001	90768_018A_S10_L001_R1_001	90768_018B_S42_L001_R1_001	90768_018C_S74_L001_R1_001	90768_027A_S11_L001_R1_001	90768_027B_S43_L001_R1_001	90768_027C_S75_L001_R1_001	90768_029A_S12_L001_R1_001	90768_029B_S44_L001_R1_001	90768_029C_S76_L001_R1_001	90768_034A_S13_L001_R1_001	90768_034B_S45_L001_R1_001	90768_034C_S77_L001_R1_001	90768_040A_S14_L001_R1_001	90768_040B_S46_L001_R1_001	90768_040C_S78_L001_R1_001	90768_042A_S15_L001_R1_001	90768_042B_S47_L001_R1_001	90768_042C_S79_L001_R1_001	90768_044A_S16_L001_R1_001	90768_044B_S48_L001_R1_001	90768_044C_S80_L001_R1_001	90768_054A_S17_L001_R1_001	90768_054B_S49_L001_R1_001	90768_054C_S81_L001_R1_001	90768_055A_S18_L001_R1_001	90768_055B_S50_L001_R1_001	90768_055C_S82_L001_R1_001	90768_056A_S19_L001_R1_001	90768_056B_S51_L001_R1_001	90768_056C_S83_L001_R1_001	90768_057A_S20_L001_R1_001	90768_057B_S52_L001_R1_001	90768_057C_S84_L001_R1_001	90768_061A_S21_L001_R1_001	90768_061B_S53_L001_R1_001	90768_061C_S85_L001_R1_001	90768_064A_S22_L001_R1_001	90768_064B_S54_L001_R1_001	90768_064C_S86_L001_R1_001	90768_067A_S23_L001_R1_001	90768_067B_S55_L001_R1_001	90768_067C_S87_L001_R1_001	90768_075A_S24_L001_R1_001	90768_075B_S56_L001_R1_001	90768_075C_S88_L001_R1_001	90768_076A_S25_L001_R1_001	90768_076B_S57_L001_R1_001	90768_076C_S89_L001_R1_001	90768_077A_S26_L001_R1_001	90768_077B_S58_L001_R1_001	90768_077C_S90_L001_R1_001	90768_078A_S27_L001_R1_001	90768_078B_S59_L001_R1_001	90768_078C_S91_L001_R1_001	90768_083A_S28_L001_R1_001	90768_083B_S60_L001_R1_001	90768_083C_S92_L001_R1_001	90768_084A_S29_L001_R1_001	90768_084B_S61_L001_R1_001	90768_084C_S93_L001_R1_001	90768_088A_S30_L001_R1_001	90768_088B_S62_L001_R1_001	90768_088C_S94_L001_R1_001	90768_090A_S31_L001_R1_001	90768_090B_S63_L001_R1_001	90768_090C_S95_L001_R1_001	90768_104A_S32_L001_R1_001	90768_104B_S64_L001_R1_001	90768_104C_S96_L001_R1_001
Tpa_0010_1	25,0	3,0	9,0	5,5	1,3	3,1	4,0	126,0	7,0	13,0	5,0	6,0	25,0	13,0	12,0	4,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	6,0	1,0	8,0	3,0	0,0	1,0	3,3	1,1	4,2	2,0	4,0	2,0	2,1	0,0	0,0	3,0	5,0	3,0	5,4	3,0	2,2	5,2	7,0	1,0	0,0	0,0	0,0	46,0	4,0	12,0	1,0	1,0	0,0	15,8	0,3	4,5	0,0	1,0	0,0	0,0	0,0	0,0	15,0	4,0	1,0	7,0	0,0	0,0	1,1	0,0	0,1	1,0	4,0	0,0	7,1	2,0	10,10	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0012_1	0,17	0,5	0,6	0,1	0,0	0,0	0,15	0,284	0,31	0,2	0,0	0,0	0,1	0,1	0,1	0,1	0,0	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,1	0,3	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,4	0,0	0,2	0,1	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0024_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0035_1	0,24	0,8	0,10	0,3	0,6	0,4	19,6	242,93	12,9	0,2	0,0	0,1	0,10	0,4	0,3	0,4	0,3	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,2	0,1	0,1	0,0	0,0	0,3	0,1	0,1	0,0	0,0	0,1	1,0	0,0	0,0	0,2	0,1	0,0	0,6	0,3	0,2	0,3	0,4	0,1	0,0	0,0	0,0	0,14	0,2	0,5	0,1	0,0	0,0	4,2	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,8	0,0	0,0	0,1	0,0	0,0	0,2	0,0	0,0	0,5	0,0	0,7	0,1	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0037_1	3,2	0,0	3,1	0,0	1,0	0,0	0,0	7,6	0,0	5,0	0,0	1,0	12,13	4,14	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	2,0	0,1	1,2	0,1	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,3	1,0	0,0	1,0	2,3	0,1	0,0	0,0	1,0	0,1	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,1	4,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	2,0	6,0	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0095_1	0,18	0,2	0,1	0,1	0,2	0,5	0,4	0,91	0,9	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,2	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,1	0,1	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0151_1	1,217	0,63	0,57	0,22	0,7	0,11	0,65	0,582	0,69	0,1	0,1	0,1	0,7	0,5	0,3	0,101	0,29	0,24	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,2	0,12	0,1	0,5	0,26	0,5	0,27	0,3	0,0	0,1	0,2	0,4	0,3	0,2	0,0	0,2	0,23	0,27	0,6	0,0	0,0	1,0	0,8	0,1	0,8	0,0	0,0	0,0	5,6	0,1	0,2	0,0	0,0	0,0	0,2	0,1	0,2	0,3	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,3	0,1	0,0	0,3	0,0	0,3	0,4	0,3	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0183_1	27,25	6,1	3,2	2,0	0,0	0,0	38,0	250,0	32,0	2,0	0,0	0,0	5,0	0,0	1,0	2,1	1,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	1,0	1,0	1,0	1,0	0,0	1,0	2,0	2,0	0,0	0,0	0,1	0,0	1,0	0,0	1,0	0,0	6,0	1,0	2,0	0,0	0,0	0,0	3,0	0,0	1,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	3,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0186_1	0,24	0,1	0,4	0,3	0,3	0,3	0,12	0,202	0,16	0,2	0,0	0,0	0,7	0,1	0,1	0,2	1,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,2	0,1	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,1	0,4	0,1	0,0	0,0	0,0	0,0	0,5	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,2	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,6	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
Tpa_0215_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0226_1	0,36	0,4	0,9	0,14	0,4	0,8	1,0	103,0	5,0	0,49	0,6	0,15	0,128	0,28	0,17	0,7	0,1	0,1	0,2	0,0	0,0	0,0	0,4	0,1	0,17	0,7	0,7	0,2	0,0	0,0	0,23	0,5	0,7	0,7	0,1	0,9	1,0	0,0	0,0	0,6	0,5	0,3	0,12	0,6	0,6	0,2	0,2	0,1	0,1	0,0	0,0	1,67	0,2	0,19	1,0	0,0	1,2	0,24	0,2	0,11	0,3	0,0	0,0	0,9	0,0	0,5	0,22	0,1	0,3	0,28	0,0	0,0	0,5	0,2	0,1	0,2	0,1	0,1	0,17	0,6	0,27	0,0	0,1	0,1	0,0	0,1	0,7	0,1	0,1	0,5	0,0	0,0	0,1	0,0	0,0	0,0
Tpa_0228_1	0,6	0,1	0,2	0,10	0,2	0,4	0,2	0,11	0,0	0,51	0,5	0,10	0,68	0,49	0,10	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,7	0,1	0,4	0,0	0,1	0,0	3,3	1,0	1,1	0,3	0,0	0,0	0,1	0,0	0,1	0,2	0,1	0,3	0,4	0,2	0,3	0,5	0,0	0,1	0,1	0,0	0,0	0,22	0,3	0,12	0,2	0,0	0,1	0,8	0,3	0,7	0,0	0,0	0,0	0,12	0,0	0,5	0,2	0,0	0,0	0,4	0,0	0,1	0,2	0,1	0,0	0,0	0,1	0,0	0,5	0,3	0,11	0,2	0,0	0,0	0,0	0,1	0,6	0,0	0,0	0,2	0,0	0,1	0,0	0,0	0,0	0,0
Tpa_0263_1	85,0	25,0	20,0	6,0	10,0	14,0	39,37	281,352	42,48	8,8	1,0	0,0	0,43	0,13	0,7	9,7	4,5	1,5	0,0	0,0	0,0	0,1	0,2	0,1	8,0	3,0	2,0	0,0	0,2	0,0	0,7	0,1	0,14	4,3	1,0	3,1	2,0	0,0	0,0	2,2	2,2	2,0	0,17	0,7	0,10	0,28	0,21	0,4	0,0	0,0	0,0	0,67	0,8	1,21	0,0	0,0	0,1	0,12	0,1	0,5	0,0	0,0	0,0	0,7	0,0	0,4	0,2	0,0	0,2	0,35	0,0	0,1	6,0	2,0	1,0	0,1	0,2	0,2	0,9	0,10	0,46	0,0	0,1	0,0	0,0	0,1	0,4	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0269_1	0,20	0,1	0,9	2,2	2,1	0,1	0,1	0,97	0,3	0,0	0,0	0,0	0,5	0,1	0,0	0,0	0,1	2,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	1,0	0,1	1,0	2,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	3,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0272_1	1,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	2,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
