Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	168	111	0.66
Tpa_0012	642	51	0.08
Tpa_0024	5149	0	0.00
Tpa_0035	579	63	0.11
Tpa_0037	1810	25	0.01
Tpa_0095	713	27	0.04
Tpa_0151	1173	236	0.20
Tpa_0183	275	50	0.18
Tpa_0186	10347	35	0.00
Tpa_0215	6750	0	0.00
Tpa_0226	183	173	0.95
Tpa_0228	17131	86	0.01
Tpa_0263	1601	263	0.16
Tpa_0269	4413	21	0.00
Tpa_0272	1167	4	0.00
Tpa_0301	117	110	0.94
Tpa_0342	204	73	0.36
Tpa_0346	2979	260	0.09
Tpa_0358	1331	102	0.08
Tpa_0366	19238	3	0.00
Tpa_0367	449	158	0.35
Tpa_0371	115	3	0.03
Tpa_0395	2	2	1.00
Tpa_0409	23733	1	0.00
Tpa_0427	646	383	0.59
Tpa_0429	1350	19	0.01
Tpa_0438	6645	20	0.00
Tpa_0439	9	3	0.33
Tpa_0474	78	11	0.14
Tpa_0492	2306	1	0.00
Tpa_0500	229	9	0.04
Tpa_0540	48182	368	0.01
Tpa_0547	1242	3	0.00
Tpa_0556	40774	363	0.01
Tpa_0569	5	3	0.60
Tpa_0592	1184	36	0.03
Tpa_0650	13690	60	0.00
Tpa_0671	10	8	0.80
Tpa_0678	4104	29	0.01
Tpa_0730	3370	200	0.06
Tpa_0743	335	315	0.94
Tpa_0763	40	0	0.00
Tpa_0768	2485	451	0.18
Tpa_0826	3752	56	0.01
Tpa_0866	1875	181	0.10
Tpa_0868	1720	9	0.01
Tpa_0882	38	17	0.45
Tpa_0888	8150	1	0.00
Tpa_0895	16150	39	0.00
Tpa_0905	354	2	0.01
Tpa_0912	14182	43	0.00
Tpa_0929	280	3	0.01
Tpa_0936	19370	103	0.01
Tpa_0953	12352	330	0.03
Tpa_0970	14807	2	0.00
Tpa_0973	40145	0	0.00
Tpa_0979	9936	2	0.00
Tpa_1007	100	17	0.17
Tpa_1022	88	0	0.00
Tpa_1042	9	0	0.00
Tpa_1071	7654	35	0.00
Tpa_1077	4483	4	0.00
Tpa_1082	845	127	0.15
Tpa_1098	95	0	0.00
Tpa_1112	376	0	0.00
Tpa_1136	3	0	0.00
Tpa_1144	23	0	0.00
Tpa_1154	10	0	0.00
Tpa_1156	0	0	NA
Tpa_1187	57	38	0.67
Tpa_1268	39	1	0.03
Tpa_1290	1118	24	0.02
Tpa_1304	10	0	0.00
Tpa_1305	14054	0	0.00
Tpa_1310	287	11	0.04
Tpa_1312	8704	761	0.09
