	90763_231C_S65_L001_R1_001	90763_232C_S66_L001_R1_001	90763_236C_S67_L001_R1_001	90763_237C_S68_L001_R1_001	90763_238C_S69_L001_R1_001	90768_005C_S70_L001_R1_001	90768_009C_S71_L001_R1_001	90768_014C_S72_L001_R1_001	90768_015C_S73_L001_R1_001	90768_018C_S74_L001_R1_001	90768_027C_S75_L001_R1_001	90768_029C_S76_L001_R1_001	90768_034C_S77_L001_R1_001	90768_040C_S78_L001_R1_001	90768_042C_S79_L001_R1_001	90768_044C_S80_L001_R1_001	90768_054C_S81_L001_R1_001	90768_055C_S82_L001_R1_001	90768_056C_S83_L001_R1_001	90768_057C_S84_L001_R1_001	90768_061C_S85_L001_R1_001	90768_064C_S86_L001_R1_001	90768_067C_S87_L001_R1_001	90768_075C_S88_L001_R1_001	90768_076C_S89_L001_R1_001	90768_077C_S90_L001_R1_001	90768_078C_S91_L001_R1_001	90768_083C_S92_L001_R1_001	90768_084C_S93_L001_R1_001	90768_088C_S94_L001_R1_001	90768_090C_S95_L001_R1_001	90768_104C_S96_L001_R1_001
Tpa_0010_1	9,0	3,1	7,0	6,0	12,0	1,0	0,0	1,0	8,0	1,0	4,2	2,0	0,0	3,0	2,2	1,0	0,0	12,0	0,0	4,5	0,0	0,0	1,0	0,0	0,1	0,0	10,10	0,0	1,1	0,1	0,0	0,0
Tpa_0012_1	0,6	0,0	0,31	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,7	0,0	0,0	0,0	0,0	0,0
Tpa_0024_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0035_1	0,10	0,4	12,9	0,1	0,3	0,2	0,0	0,0	0,1	0,0	0,1	0,1	0,0	0,0	0,2	0,1	0,0	0,5	0,0	2,0	0,0	0,1	0,0	0,0	0,0	0,0	0,7	0,0	0,1	0,0	0,0	0,0
Tpa_0037_1	3,1	0,0	0,0	1,0	1,0	0,0	0,0	0,0	1,2	0,0	1,0	0,0	0,0	0,0	0,0	0,3	1,0	0,0	0,1	0,0	0,0	0,1	0,1	0,0	0,0	0,0	6,0	0,0	1,1	0,0	0,0	0,0
Tpa_0095_1	0,1	0,5	0,9	0,0	0,0	0,6	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,0
Tpa_0151_1	0,57	0,11	0,69	0,1	0,3	0,24	0,0	0,0	0,0	0,2	0,5	0,27	0,1	0,3	0,2	0,6	1,0	0,8	0,0	0,2	0,0	0,2	0,1	0,0	0,3	0,3	0,4	0,0	0,1	0,0	0,0	0,0
Tpa_0183_1	3,2	0,0	32,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	1,0	2,0	0,0	1,0	0,0	2,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0
Tpa_0186_1	0,4	0,3	0,16	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,6	0,0	0,0	0,0	1,0	0,0
Tpa_0215_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
