Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_0010	1138	1028	0.90
Tpa_0012	3595	3254	0.91
Tpa_0024	1473	9	0.01
Tpa_0035	839	752	0.90
Tpa_0037	2050	289	0.14
Tpa_0095	26339	24419	0.93
Tpa_0151	75378	65409	0.87
Tpa_0183	35776	30190	0.84
Tpa_0186	1522	1425	0.94
Tpa_0215	52	2	0.04
Tpa_0226	155	115	0.74
Tpa_0228	1000	150	0.15
Tpa_0263	11247	1102	0.10
Tpa_0269	595	529	0.89
Tpa_0272	32	30	0.94
Tpa_0301	35379	34333	0.97
Tpa_0342	4744	4386	0.92
Tpa_0346	1094	990	0.90
Tpa_0358	1971	1918	0.97
Tpa_0366	9391	2016	0.21
Tpa_0367	1266	1123	0.89
Tpa_0371	4363	4141	0.95
Tpa_0395	3733	3337	0.89
Tpa_0409	311	233	0.75
Tpa_0427	1870	1824	0.98
Tpa_0429	1094	759	0.69
Tpa_0438	997	621	0.62
Tpa_0439	24698	23946	0.97
Tpa_0474	1152	44	0.04
Tpa_0492	1135	630	0.56
Tpa_0500	32957	313	0.01
Tpa_0540	11483	310	0.03
Tpa_0547	9918	5855	0.59
Tpa_0556	7283	299	0.04
Tpa_0569	4540	3213	0.71
Tpa_0584	5151	3025	0.59
Tpa_0592	26281	24164	0.92
Tpa_0650	3620	366	0.10
Tpa_0671	3236	3143	0.97
Tpa_0678	82	25	0.30
Tpa_0687	2952	2852	0.97
Tpa_0730	1167	968	0.83
Tpa_0743	1492	1433	0.96
Tpa_0763	3072	2956	0.96
Tpa_0768	10813	107	0.01
Tpa_0791	6198	4573	0.74
Tpa_0826	171	144	0.84
Tpa_0866	62464	59062	0.95
Tpa_0868	19	8	0.42
Tpa_0882	111	104	0.94
Tpa_0888	8499	2961	0.35
Tpa_0895	2615	928	0.35
Tpa_0905	3561	3280	0.92
Tpa_0912	1846	82	0.04
Tpa_0929	1897	241	0.13
Tpa_0936	4378	954	0.22
Tpa_0953	16894	13915	0.82
Tpa_0970	18	14	0.78
Tpa_0973	50882	29	0.00
Tpa_0979	14600	3031	0.21
Tpa_1007	3986	1607	0.40
Tpa_1022	86158	2870	0.03
Tpa_1042	918	453	0.49
Tpa_1071	911	686	0.75
Tpa_1077	2503	1689	0.67
Tpa_1082	59286	56365	0.95
Tpa_1098	32	29	0.91
Tpa_1112	4182	2880	0.69
Tpa_1136	38	4	0.11
Tpa_1144	2037	1908	0.94
Tpa_1154	19675	3639	0.18
Tpa_1156	57	10	0.18
Tpa_1187	1508	1434	0.95
