	52507_184_S27_L001_R1_001	52507_212_S28_L001_R1_001	52507_240_S29_L001_R1_001	52507_271_S30_L001_R1_001	52507_351_S31_L001_R1_001	52507_356_S32_L001_R1_001	52507_362_S33_L001_R1_001	52507_385_S1_L001_R1_001	52507_392_S2_L001_R1_001	52507_397_S3_L001_R1_001	52507_401_S4_L001_R1_001	52507_406_S5_L001_R1_001	52507_407_S6_L001_R1_001	52507_411_S7_L001_R1_001	52507_413_S8_L001_R1_001	52507_414_S9_L001_R1_001	52507_415_S10_L001_R1_001	52507_418_S11_L001_R1_001	52507_422_S12_L001_R1_001	52507_425_S13_L001_R1_001	52507_429_S14_L001_R1_001	52507_431_S15_L001_R1_001	52507_440_S16_L001_R1_001	52507_442_S17_L001_R1_001	52507_445_S18_L001_R1_001	52507_465_S19_L001_R1_001	52507_467_S20_L001_R1_001	52507_472_S21_L001_R1_001	52507_473_S22_L001_R1_001	52507_477_S23_L001_R1_001	52507_479_S24_L001_R1_001	52507_484_S25_L001_R1_001	52507_485_S26_L001_R1_001	52508_002_S34_L001_R1_001	52508_004_S35_L001_R1_001	52508_011_S36_L001_R1_001	52508_014_S37_L001_R1_001	52508_017_S38_L001_R1_001	52508_019_S39_L001_R1_001	52508_022_S40_L001_R1_001	52508_024_S41_L001_R1_001	52508_025_S42_L001_R1_001	52508_027_S43_L001_R1_001	52508_031_S44_L001_R1_001	52508_033_S45_L001_R1_001	52508_036_S46_L001_R1_001	52508_039_S47_L001_R1_001	52508_040_S48_L001_R1_001	52508_043_S49_L001_R1_001	52508_046_S50_L001_R1_001	52508_047_S51_L001_R1_001	52508_052_S52_L001_R1_001	52508_056_S53_L001_R1_001	52508_062_S54_L001_R1_001	52508_064_S55_L001_R1_001	52508_065_S56_L001_R1_001	52508_069_S57_L001_R1_001	52508_070_S58_L001_R1_001	52508_078_S59_L001_R1_001	52508_079_S60_L001_R1_001	52508_086_S61_L001_R1_001	52508_087_S62_L001_R1_001	52508_088_S63_L001_R1_001	52508_090_S64_L001_R1_001	52508_091_S65_L001_R1_001	52508_101_S66_L001_R1_001	52508_105_S67_L001_R1_001	52508_106_S68_L001_R1_001	52508_111_S69_L001_R1_001	52508_114_S70_L001_R1_001	52508_115_S71_L001_R1_001	52508_117_S72_L001_R1_001	52508_119_S73_L001_R1_001	52508_127_S74_L001_R1_001	52508_129_S75_L001_R1_001	52508_131_S76_L001_R1_001	52508_134_S77_L001_R1_001	52508_135_S78_L001_R1_001	52508_139_S79_L001_R1_001	52508_143_S80_L001_R1_001	52508_145_S81_L001_R1_001	52508_149_S82_L001_R1_001	52508_156_S83_L001_R1_001	52508_157_S84_L001_R1_001	52508_158_S85_L001_R1_001	52508_167_S86_L001_R1_001	52508_168_S87_L001_R1_001	52508_173_S88_L001_R1_001	52508_174_S89_L001_R1_001	52508_176_S90_L001_R1_001	52508_179_S91_L001_R1_001	52508_182_S92_L001_R1_001	52508_183_S93_L001_R1_001	52508_189_S94_L001_R1_001	52508_201_S95_L001_R1_001
Tpa_0010_1	5,6	152,159	7,0	20,0	24,0	63,0	4,0	1,0	2,0	0,0	0,0	1,0	0,0	2,0	1,4	0,0	9,0	5,0	1,0	1,0	0,2	6,0	0,1	8,0	7,0	2,1	4,0	3,0	2,0	2,0	1,0	6,2	24,0	0,0	0,0	86,118	2,0	13,0	2,0	0,0	0,0	0,0	4,3	0,1	1,1	4,5	3,0	2,0	4,0	3,3	2,0	3,0	2,0	2,0	2,0	2,0	6,10	0,3	0,0	21,0	2,0	2,4	9,5	9,0	0,1	0,0	10,0	12,0	0,0	0,0	3,0	0,0	0,2	26,0	7,0	0,2	0,0	0,0	10,0	2,0	0,0	7,8	13,0	0,10	6,0	0,0	1,0	2,0	21,0	0,0	0,1	0,0	4,0	3,0	0,0
Tpa_0012_1	0,42	0,833	0,4	0,209	0,56	0,247	0,7	0,8	0,5	2,5	0,0	0,3	0,1	0,2	0,6	0,0	0,16	0,11	0,1	0,1	0,6	0,12	0,11	0,18	0,27	0,41	0,14	0,1	0,34	0,2	0,12	0,24	0,33	0,6	0,1	2,650	0,0	1,84	0,1	0,1	0,1	0,0	0,12	0,0	0,9	0,25	0,3	0,6	0,3	0,7	0,4	4,7	0,1	0,2	0,3	0,18	0,15	0,10	0,5	0,46	0,0	0,2	0,58	0,25	0,2	0,0	0,17	0,12	0,1	0,1	0,4	0,0	0,17	0,279	0,2	0,4	0,1	0,0	0,2	0,2	0,0	0,37	0,19	0,26	0,3	0,0	0,1	0,7	0,86	0,10	0,0	0,1	0,7	0,7	0,0
Tpa_0024_1	0,0	2,0	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0035_1	0,10	0,277	0,2	0,28	0,10	0,23	0,3	0,2	0,0	0,2	0,0	0,5	0,0	0,1	0,1	0,0	0,3	0,3	0,0	0,0	0,2	0,2	0,1	0,6	0,6	0,4	0,5	0,0	0,3	0,2	0,3	0,5	0,14	0,3	0,0	0,168	0,0	0,21	0,0	0,0	0,0	0,0	0,2	0,0	0,3	0,1	0,0	0,1	0,1	0,1	0,1	0,12	0,0	0,0	0,0	0,5	0,5	0,1	0,0	0,8	0,0	0,5	0,4	0,6	0,1	0,0	0,7	0,3	0,0	0,0	0,0	0,0	0,4	0,25	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,5	0,1	0,5	0,0	0,0	0,0	0,3	0,21	0,2	0,0	0,0	0,1	0,1	0,0
Tpa_0037_1	0,0	46,57	0,2	1,2	3,0	13,0	1,0	0,0	1,0	0,0	0,0	1,2	0,0	0,0	0,0	0,0	6,0	0,0	0,1	0,0	0,0	2,1	1,0	0,1	2,0	1,0	1,0	0,0	0,0	1,0	0,0	4,0	5,0	0,0	0,0	29,32	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	2,0	0,0	0,0	0,0	2,1	1,0	1,0	0,7	0,0	0,0	0,0	3,0	5,0	0,1	0,0	1,6	0,0	0,0	0,0	0,1	1,0	0,0	6,0	2,2	0,0	0,0	0,0	1,0	4,0	1,0	0,0	0,0	0,0	0,0	0,3	0,0	0,0	1,1	0,2	1,1	4,0	0,0	0,0	0,3	5,0	0,0	0,0	0,0	1,0	1,0	0,0
Tpa_0095_1	1,1202	2,2706	0,22	2,2258	3,643	0,1242	25,27	0,45	0,18	0,52	0,2	0,37	0,2	0,27	0,46	0,2	0,92	0,47	0,7	0,6	3,7	56,2	0,63	0,218	68,108	0,431	0,198	0,19	0,1052	0,21	0,279	0,378	0,108	0,37	3,4	1,2129	0,5	0,1540	0,22	0,4	0,6	0,5	30,29	0,10	0,47	0,502	0,13	0,12	0,41	0,12	0,12	0,117	9,6	0,11	0,12	0,57	0,168	0,19	0,24	2,1494	0,4	0,64	1,959	0,260	0,15	0,2	0,137	0,52	0,6	0,3	0,4	0,3	23,35	2,2528	0,50	0,27	0,10	0,1	11,16	0,37	2,4	0,729	0,95	0,374	0,28	0,0	0,3	0,29	390,495	0,30	0,12	1,8	0,35	0,17	0,7
Tpa_0151_1	1,1208	5,10461	0,43	3,4856	0,873	2,4590	0,95	0,122	0,81	1,193	0,6	0,104	0,0	29,33	1,191	0,4	0,264	0,145	0,16	0,35	8,14	0,166	0,117	0,427	0,635	1,687	1,366	0,33	0,1198	0,70	0,488	0,401	0,316	0,76	0,24	4,10978	0,17	1,3997	0,40	0,4	0,18	4,4	0,172	0,23	0,122	1,1679	0,31	0,39	0,89	0,38	0,36	0,349	0,45	0,33	0,18	0,150	1,347	0,48	0,53	1,1665	0,11	0,114	0,3795	0,582	15,2	0,17	0,535	93,81	0,5	0,6	0,30	0,7	0,159	2,5414	0,121	0,75	0,11	0,6	0,65	0,106	0,24	1,2754	0,305	297,270	0,31	0,0	0,2	0,108	0,1709	0,69	0,17	0,18	51,40	0,52	0,12
Tpa_0183_1	369,0	6890,1	20,35	2018,0	346,2	1037,1183	29,0	43,0	57,0	82,0	2,0	45,0	0,1	25,0	89,0	9,0	76,77	88,0	10,0	13,9	23,0	67,0	50,0	170,0	123,122	85,54	126,0	19,0	251,0	40,0	0,78	135,0	100,102	37,0	4,0	7164,0	12,0	1499,0	15,0	2,0	3,0	2,0	25,47	16,0	31,33	348,0	23,0	19,0	24,24	20,0	21,1	198,0	14,0	12,7	6,9	111,0	75,88	30,0	13,18	431,0	7,0	25,50	909,0	107,84	10,2	17,0	83,78	36,38	6,0	3,0	11,17	3,0	100,0	2254,0	23,32	57,0	21,0	2,0	50,0	29,0	3,3	0,492	145,0	198,0	28,0	0,0	7,0	71,0	557,0	22,24	9,13	8,0	1,45	11,15	1,0
Tpa_0186_1	0,13	0,460	0,1	15,24	9,16	0,38	0,2	0,4	0,2	0,7	0,0	3,1	0,0	0,0	0,3	0,0	0,21	0,2	0,2	0,0	0,1	0,9	0,4	7,9	0,8	0,4	0,5	0,0	3,2	0,3	0,4	0,4	0,24	0,4	0,0	0,372	0,1	18,17	0,1	0,0	0,0	0,0	0,7	0,0	0,3	0,5	0,1	0,0	0,6	0,0	0,1	0,19	0,3	0,1	0,1	0,13	0,16	0,1	0,2	0,35	0,0	0,1	0,19	0,5	0,0	0,0	0,4	6,1	0,0	0,1	0,2	0,0	0,8	0,49	0,1	0,9	0,0	0,0	0,5	0,3	1,0	0,8	0,11	0,2	0,0	0,0	0,1	0,5	0,37	0,3	0,2	0,0	0,2	0,2	0,0
Tpa_0215_1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
